series_id,timestamp,y
FOODS_0001_CA_2_validation,d_36,1
FOODS_0001_CA_2_validation,d_37,4
FOODS_0001_CA_2_validation,d_38,0
FOODS_0001_CA_2_validation,d_39,0
FOODS_0001_CA_2_validation,d_40,0
FOODS_0001_CA_2_validation,d_41,1
FOODS_0001_CA_2_validation,d_42,1
FOODS_0001_CA_2_validation,d_43,0
FOODS_0001_CA_2_validation,d_44,1
FOODS_0001_CA_2_validation,d_45,1
FOODS_0001_CA_2_validation,d_46,0
FOODS_0001_CA_2_validation,d_47,1
FOODS_0001_CA_2_validation,d_48,0
FOODS_0001_CA_2_validation,d_49,0
FOODS_0001_CA_2_validation,d_50,0
FOODS_0001_CA_2_validation,d_51,2
FOODS_0001_CA_2_validation,d_52,3
FOODS_0001_CA_2_validation,d_53,1
FOODS_0001_CA_2_validation,d_54,1
FOODS_0001_CA_2_validation,d_55,1
FOODS_0001_CA_2_validation,d_56,1
FOODS_0001_CA_2_validation,d_57,2
FOODS_0001_CA_2_validation,d_58,3
FOODS_0001_CA_2_validation,d_59,3
FOODS_0001_CA_2_validation,d_60,3
FOODS_0001_CA_2_validation,d_61,0
FOODS_0001_CA_2_validation,d_62,1
FOODS_0001_CA_2_validation,d_63,1
FOODS_0001_CA_2_validation,d_64,0
FOODS_0001_CA_2_validation,d_65,1
FOODS_0001_CA_2_validation,d_66,0
FOODS_0001_CA_2_validation,d_67,3
FOODS_0001_CA_2_validation,d_68,0
FOODS_0001_CA_2_validation,d_69,1
FOODS_0001_CA_2_validation,d_70,0
FOODS_0001_CA_2_validation,d_71,0
FOODS_0001_CA_2_validation,d_72,2
FOODS_0001_CA_2_validation,d_73,1
FOODS_0001_CA_2_validation,d_74,0
FOODS_0001_CA_2_validation,d_75,0
FOODS_0001_CA_2_validation,d_76,0
FOODS_0001_CA_2_validation,d_77,0
FOODS_0001_CA_2_validation,d_78,0
FOODS_0001_CA_2_validation,d_79,0
FOODS_0001_CA_2_validation,d_80,2
FOODS_0001_CA_2_validation,d_81,2
FOODS_0001_CA_2_validation,d_82,1
FOODS_0001_CA_2_validation,d_83,0
FOODS_0001_CA_2_validation,d_84,0
FOODS_0001_CA_2_validation,d_85,0
FOODS_0001_CA_2_validation,d_86,0
FOODS_0001_CA_2_validation,d_87,1
FOODS_0001_CA_2_validation,d_88,1
FOODS_0001_CA_2_validation,d_89,1
FOODS_0001_CA_2_validation,d_90,0
FOODS_0001_CA_2_validation,d_91,0
FOODS_0001_CA_2_validation,d_92,0
FOODS_0001_CA_2_validation,d_93,1
FOODS_0001_CA_2_validation,d_94,4
FOODS_0001_CA_2_validation,d_95,5
FOODS_0001_CA_2_validation,d_96,0
FOODS_0001_CA_2_validation,d_97,0
FOODS_0001_CA_2_validation,d_98,1
FOODS_0001_CA_2_validation,d_99,0
FOODS_0001_CA_2_validation,d_100,3
FOODS_0001_CA_2_validation,d_101,1
FOODS_0001_CA_2_validation,d_102,4
FOODS_0001_CA_2_validation,d_103,0
FOODS_0001_CA_2_validation,d_104,0
FOODS_0001_CA_2_validation,d_105,0
FOODS_0001_CA_2_validation,d_106,1
FOODS_0001_CA_2_validation,d_107,1
FOODS_0001_CA_2_validation,d_108,0
FOODS_0001_CA_2_validation,d_109,0
FOODS_0001_CA_2_validation,d_110,0
FOODS_0001_CA_2_validation,d_111,1
FOODS_0001_CA_2_validation,d_112,2
FOODS_0001_CA_2_validation,d_113,0
FOODS_0001_CA_2_validation,d_114,2
FOODS_0001_CA_2_validation,d_115,0
FOODS_0001_CA_2_validation,d_116,2
FOODS_0001_CA_2_validation,d_117,0
FOODS_0001_CA_2_validation,d_118,1
FOODS_0001_CA_2_validation,d_119,0
FOODS_0001_CA_2_validation,d_120,1
FOODS_0001_CA_2_validation,d_121,3
FOODS_0001_CA_2_validation,d_122,1
FOODS_0001_CA_2_validation,d_123,2
FOODS_0001_CA_2_validation,d_124,0
FOODS_0001_CA_2_validation,d_125,0
FOODS_0001_CA_2_validation,d_126,1
FOODS_0001_CA_2_validation,d_127,2
FOODS_0001_CA_2_validation,d_128,0
FOODS_0001_CA_2_validation,d_129,0
FOODS_0001_CA_2_validation,d_130,1
FOODS_0001_CA_2_validation,d_131,1
FOODS_0001_CA_2_validation,d_132,0
FOODS_0001_CA_2_validation,d_133,1
FOODS_0001_CA_2_validation,d_134,0
FOODS_0001_CA_2_validation,d_135,1
FOODS_0001_CA_2_validation,d_136,2
FOODS_0001_CA_2_validation,d_137,1
FOODS_0001_CA_2_validation,d_138,0
FOODS_0001_CA_2_validation,d_139,0
FOODS_0001_CA_2_validation,d_140,0
FOODS_0001_CA_2_validation,d_141,3
FOODS_0001_CA_2_validation,d_142,1
FOODS_0001_CA_2_validation,d_143,0
FOODS_0001_CA_2_validation,d_144,2
FOODS_0007_WI_2_validation,d_36,1
FOODS_0007_WI_2_validation,d_37,1
FOODS_0007_WI_2_validation,d_38,2
FOODS_0007_WI_2_validation,d_39,0
FOODS_0007_WI_2_validation,d_40,0
FOODS_0007_WI_2_validation,d_41,0
FOODS_0007_WI_2_validation,d_42,0
FOODS_0007_WI_2_validation,d_43,0
FOODS_0007_WI_2_validation,d_44,0
FOODS_0007_WI_2_validation,d_45,0
FOODS_0007_WI_2_validation,d_46,0
FOODS_0007_WI_2_validation,d_47,1
FOODS_0007_WI_2_validation,d_48,0
FOODS_0007_WI_2_validation,d_49,0
FOODS_0007_WI_2_validation,d_50,0
FOODS_0007_WI_2_validation,d_51,0
FOODS_0007_WI_2_validation,d_52,0
FOODS_0007_WI_2_validation,d_53,1
FOODS_0007_WI_2_validation,d_54,0
FOODS_0007_WI_2_validation,d_55,0
FOODS_0007_WI_2_validation,d_56,0
FOODS_0007_WI_2_validation,d_57,0
FOODS_0007_WI_2_validation,d_58,1
FOODS_0007_WI_2_validation,d_59,2
FOODS_0007_WI_2_validation,d_60,1
FOODS_0007_WI_2_validation,d_61,0
FOODS_0007_WI_2_validation,d_62,0
FOODS_0007_WI_2_validation,d_63,0
FOODS_0007_WI_2_validation,d_64,0
FOODS_0007_WI_2_validation,d_65,2
FOODS_0007_WI_2_validation,d_66,0
FOODS_0007_WI_2_validation,d_67,0
FOODS_0007_WI_2_validation,d_68,0
FOODS_0007_WI_2_validation,d_69,0
FOODS_0007_WI_2_validation,d_70,0
FOODS_0007_WI_2_validation,d_71,0
FOODS_0007_WI_2_validation,d_72,0
FOODS_0007_WI_2_validation,d_73,0
FOODS_0007_WI_2_validation,d_74,0
FOODS_0007_WI_2_validation,d_75,0
FOODS_0007_WI_2_validation,d_76,0
FOODS_0007_WI_2_validation,d_77,0
FOODS_0007_WI_2_validation,d_78,0
FOODS_0007_WI_2_validation,d_79,1
FOODS_0007_WI_2_validation,d_80,1
FOODS_0007_WI_2_validation,d_81,1
FOODS_0007_WI_2_validation,d_82,0
FOODS_0007_WI_2_validation,d_83,0
FOODS_0007_WI_2_validation,d_84,0
FOODS_0007_WI_2_validation,d_85,0
FOODS_0007_WI_2_validation,d_86,0
FOODS_0007_WI_2_validation,d_87,3
FOODS_0007_WI_2_validation,d_88,1
FOODS_0007_WI_2_validation,d_89,0
FOODS_0007_WI_2_validation,d_90,0
FOODS_0007_WI_2_validation,d_91,0
FOODS_0007_WI_2_validation,d_92,0
FOODS_0007_WI_2_validation,d_93,0
FOODS_0007_WI_2_validation,d_94,1
FOODS_0007_WI_2_validation,d_95,0
FOODS_0007_WI_2_validation,d_96,0
FOODS_0007_WI_2_validation,d_97,0
FOODS_0007_WI_2_validation,d_98,1
FOODS_0007_WI_2_validation,d_99,0
FOODS_0007_WI_2_validation,d_100,0
FOODS_0007_WI_2_validation,d_101,1
FOODS_0007_WI_2_validation,d_102,0
FOODS_0007_WI_2_validation,d_103,0
FOODS_0007_WI_2_validation,d_104,0
FOODS_0007_WI_2_validation,d_105,0
FOODS_0007_WI_2_validation,d_106,1
FOODS_0007_WI_2_validation,d_107,0
FOODS_0007_WI_2_validation,d_108,0
FOODS_0007_WI_2_validation,d_109,0
FOODS_0007_WI_2_validation,d_110,0
FOODS_0007_WI_2_validation,d_111,0
FOODS_0007_WI_2_validation,d_112,0
FOODS_0007_WI_2_validation,d_113,0
FOODS_0007_WI_2_validation,d_114,0
FOODS_0007_WI_2_validation,d_115,1
FOODS_0007_WI_2_validation,d_116,0
FOODS_0007_WI_2_validation,d_117,0
FOODS_0007_WI_2_validation,d_118,0
FOODS_0007_WI_2_validation,d_119,0
FOODS_0007_WI_2_validation,d_120,0
FOODS_0007_WI_2_validation,d_121,0
FOODS_0007_WI_2_validation,d_122,0
FOODS_0007_WI_2_validation,d_123,1
FOODS_0007_WI_2_validation,d_124,0
FOODS_0007_WI_2_validation,d_125,0
FOODS_0007_WI_2_validation,d_126,0
FOODS_0007_WI_2_validation,d_127,1
FOODS_0007_WI_2_validation,d_128,2
FOODS_0007_WI_2_validation,d_129,0
FOODS_0007_WI_2_validation,d_130,1
FOODS_0007_WI_2_validation,d_131,0
FOODS_0007_WI_2_validation,d_132,0
FOODS_0007_WI_2_validation,d_133,0
FOODS_0007_WI_2_validation,d_134,0
FOODS_0007_WI_2_validation,d_135,0
FOODS_0007_WI_2_validation,d_136,0
FOODS_0007_WI_2_validation,d_137,0
FOODS_0007_WI_2_validation,d_138,0
FOODS_0007_WI_2_validation,d_139,0
FOODS_0007_WI_2_validation,d_140,0
FOODS_0007_WI_2_validation,d_141,3
FOODS_0007_WI_2_validation,d_142,0
FOODS_0007_WI_2_validation,d_143,1
FOODS_0007_WI_2_validation,d_144,1
HOBBIES_0009_CA_1_validation,d_36,0
HOBBIES_0009_CA_1_validation,d_37,1
HOBBIES_0009_CA_1_validation,d_38,1
HOBBIES_0009_CA_1_validation,d_39,0
HOBBIES_0009_CA_1_validation,d_40,0
HOBBIES_0009_CA_1_validation,d_41,0
