series_id,timestamp,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,rmean_7,rmean_14,dow_sin,dow_cos,moy_sin,moy_cos,y
FOODS_0001_CA_2_validation,d_50,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.42857142857142855,0.7142857142857143,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.0
FOODS_0001_CA_2_validation,d_51,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.42857142857142855,0.6428571428571429,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,2.0
FOODS_0001_CA_2_validation,d_52,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5714285714285714,0.5,0.0,1.0,1.0,6.123233995736766e-17,3.0
FOODS_0001_CA_2_validation,d_53,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8571428571428571,0.7142857142857143,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,1.0
FOODS_0001_CA_2_validation,d_54,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.7857142857142857,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1.0
FOODS_0001_CA_2_validation,d_55,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1.0
FOODS_0001_CA_2_validation,d_56,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.1428571428571428,0.8571428571428571,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1.0
FOODS_0001_CA_2_validation,d_57,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.2857142857142858,0.8571428571428571,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,2.0
FOODS_0001_CA_2_validation,d_58,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.5714285714285714,1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,3.0
FOODS_0001_CA_2_validation,d_59,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.7142857142857142,1.1428571428571428,0.0,1.0,1.0,6.123233995736766e-17,3.0
FOODS_0001_CA_2_validation,d_60,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.7142857142857142,1.2857142857142858,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,3.0
FOODS_0001_CA_2_validation,d_61,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.5,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.0
FOODS_0001_CA_2_validation,d_62,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.8571428571428572,1.4285714285714286,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1.0
FOODS_0001_CA_2_validation,d_63,1.0,0.0,3.0,3.0,3.0,2.0,1.0,1.8571428571428572,1.5,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,1.0
FOODS_0001_CA_2_validation,d_64,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1.8571428571428572,1.5714285714285714,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.0
FOODS_0001_CA_2_validation,d_65,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.5714285714285714,1.5714285714285714,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1.0
FOODS_0001_CA_2_validation,d_66,1.0,0.0,1.0,1.0,0.0,3.0,3.0,1.2857142857142858,1.5,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.0
FOODS_0001_CA_2_validation,d_67,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.8571428571428571,1.2857142857142858,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,3.0
FOODS_0001_CA_2_validation,d_68,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8571428571428571,1.4285714285714286,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0.0
FOODS_0001_CA_2_validation,d_69,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.8571428571428571,1.3571428571428572,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,1.0
FOODS_0001_CA_2_validation,d_70,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.8571428571428571,1.3571428571428572,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.0
FOODS_0001_CA_2_validation,d_71,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.7142857142857143,1.2857142857142858,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.0
FOODS_0001_CA_2_validation,d_72,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.7142857142857143,1.1428571428571428,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,2.0
FOODS_0001_CA_2_validation,d_73,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.8571428571428571,1.0714285714285714,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.0
FOODS_0001_CA_2_validation,d_74,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.9285714285714286,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0
